,,date,deposits,assets,noninterestexpense,interestexpense,noninterestincome,stockholdersequity
FCNCA,7,2018-12-31,30672460000.0,35408629000.0,1076971000.0,36857000.0,400149000.0,3488954000.0
FCNCA,8,2018-09-30,30163537000.0,34954659000.0,801593000.0,24166000.0,318142000.0,3499013000.0
FCNCA,9,2018-06-30,30408884000.0,35088566000.0,534056000.0,15822000.0,223611000.0,3446886000.0
FCNCA,10,2018-03-31,29969245000.0,34436437000.0,268063000.0,8164000.0,122684000.0,3372114000.0
FCNCA,11,2017-12-31,29266275000.0,34527512000.0,1131535000.0,43794000.0,641029000.0,3334064000.0
FCNCA,12,2017-09-30,29333949000.0,34584154000.0,836918000.0,32605000.0,500879000.0,3313831000.0
FCNCA,13,2017-06-30,29456338000.0,34769850000.0,549951000.0,21447000.0,375492000.0,3239851000.0
FCNCA,14,2017-03-31,29002768000.0,34018405000.0,264345000.0,10514000.0,127292000.0,3100696000.0
FCNCA,15,2016-12-31,28161343000.0,32990836000.0,1048738000.0,43082000.0,488071000.0,3012427000.0
FCNCA,16,2016-09-30,27925253000.0,32971910000.0,777207000.0,32217000.0,363373000.0,3083748000.0
FCNCA,17,2016-06-30,27257774000.0,32230403000.0,509974000.0,21572000.0,245532000.0,3035704000.0
FCNCA,18,2016-03-31,27365245000.0,32195657000.0,251671000.0,10392000.0,105282000.0,2961194000.0
FCNCA,19,2015-12-31,26930755000.0,31475934000.0,1038915000.0,44304000.0,467088000.0,2872109000.0
FCNCA,20,2015-09-30,26719375000.0,31449824000.0,783029000.0,33162000.0,367953000.0,2862528000.0
FCNCA,21,2015-06-30,26511896000.0,30896855000.0,522857000.0,22708000.0,258203000.0,2793890000.0
FCNCA,22,2015-03-31,26300830000.0,30853649000.0,258260000.0,11345000.0,145378000.0,2765377000.0
FCNCA,23,2014-12-31,25678577000.0,30075113000.0,846289000.0,50351000.0,340426000.0,2687594000.0
FCNCA,24,2014-09-30,18406941000.0,21942491000.0,591860000.0,35475000.0,203953000.0,2166707000.0
FCNCA,25,2014-06-30,18556758000.0,22062840000.0,390050000.0,24076000.0,126563000.0,2149145000.0
FCNCA,26,2014-03-31,18763545000.0,22154997000.0,191030000.0,12463000.0,61181000.0,2104830000.0
FCNCA,27,2013-12-31,17874066000.0,21199091000.0,771380000.0,56618000.0,263603000.0,2076675000.0
FCNCA,28,2013-09-30,18063319000.0,21511352000.0,575065000.0,43571000.0,194426000.0,1982057000.0
FCNCA,29,2013-06-30,18018015000.0,21308822000.0,382922000.0,30120000.0,122508000.0,1939330000.0
FCNCA,30,2013-03-31,18064921000.0,21351012000.0,194355000.0,15722000.0,57513000.0,1918581000.0
FCNCA,31,2012-12-31,18086025000.0,21283652000.0,766933000.0,90148000.0,189300000.0,1864007000.0
FCNCA,32,2012-09-30,17893215000.0,21173620000.0,568205000.0,72205000.0,156081000.0,1974124000.0
FCNCA,33,2012-06-30,17801646000.0,21240990000.0,378128000.0,50887000.0,104239000.0,1929790000.0
FCNCA,34,2012-03-31,17759492000.0,21143628000.0,183331000.0,25800000.0,46943000.0,1892123000.0
FCNCA,35,2011-12-31,17577274000.0,20881493000.0,792925000.0,144192000.0,464366000.0,1861128000.0
FCNCA,36,2011-09-30,17663275000.0,21015344000.0,581342000.0,114434000.0,359973000.0,1871930000.0
FCNCA,37,2011-06-30,17662966000.0,21021650000.0,377510000.0,79442000.0,197739000.0,1810189000.0
FCNCA,38,2011-03-31,17811736000.0,21167495000.0,190028000.0,41213000.0,131090000.0,1789133000.0
FCNCA,39,2010-12-31,,,733376000.0,195125000.0,406214000.0,1732962000.0
FCNCA,40,2010-09-30,,,531577000.0,150925000.0,354540000.0,1718204000.0
FCNCA,41,2010-06-30,,,354726000.0,102237000.0,301194000.0,1693309000.0
CFR,0,2020-09-30,33499503000.0,40101240000.0,625992000.0,38385000.0,374117000.0,4085026000.0
CFR,1,2020-06-30,32679096000.0,39377553000.0,423842000.0,30642000.0,290516000.0,4008801000.0
CFR,2,2020-03-31,28140867000.0,34147305000.0,224163000.0,21459000.0,212915000.0,3826666000.0
CFR,3,2019-12-31,27639564000.0,34027428000.0,834679000.0,129780000.0,363902000.0,3911668000.0
CFR,4,2019-09-30,27083582000.0,33098176000.0,613873000.0,102824000.0,268647000.0,3881457000.0
CFR,5,2019-06-30,25985023000.0,31818863000.0,405009000.0,69558000.0,179423000.0,3741307000.0
CFR,6,2019-03-31,26294863000.0,31664566000.0,201800000.0,34852000.0,96785000.0,3593578000.0
CFR,7,2018-12-31,27149204000.0,32292966000.0,778884000.0,93306000.0,351286000.0,3368917000.0
CFR,8,2018-09-30,26348854000.0,31223402000.0,579187000.0,61310000.0,264168000.0,3308246000.0
CFR,9,2018-06-30,25996499000.0,30687214000.0,385519000.0,34259000.0,176511000.0,3309512000.0
CFR,10,2018-03-31,26677778000.0,31459232000.0,196611000.0,13578000.0,91445000.0,3243430000.0
CFR,11,2017-12-31,26872389000.0,31747880000.0,759069000.0,26525000.0,336470000.0,3297863000.0
CFR,12,2017-09-30,26403269000.0,30989972000.0,562789000.0,16144000.0,246395000.0,3189043000.0
CFR,13,2017-06-30,25613573000.0,30206314000.0,375966000.0,7769000.0,164780000.0,3223929000.0
CFR,14,2017-03-31,26142164000.0,30524705000.0,187915000.0,3283000.0,83700000.0,3097378000.0
CFR,15,2016-12-31,25811575000.0,30196319000.0,732960000.0,12076000.0,349708000.0,3002528000.0
CFR,16,2016-09-30,25107548000.0,29602912000.0,539109000.0,8811000.0,256274000.0,3161796000.0
CFR,17,2016-06-30,24287451000.0,28976249000.0,358604000.0,5829000.0,174160000.0,3136668000.0
CFR,18,2016-03-31,24156975000.0,28400086000.0,179159000.0,2880000.0,96143000.0,2992240000.0
CFR,19,2015-12-31,24343595000.0,28567118000.0,693718000.0,12864000.0,328730000.0,2890343000.0
CFR,20,2015-09-30,24324397000.0,28341352000.0,520319000.0,9901000.0,245575000.0,2904973000.0
CFR,21,2015-06-30,23841154000.0,27781593000.0,344750000.0,6794000.0,162197000.0,2871667000.0
CFR,22,2015-03-31,24149622000.0,28158982000.0,171511000.0,3671000.0,83215000.0,2910931000.0
CFR,23,2014-12-31,24135930000.0,28277775000.0,654740000.0,14537000.0,320144000.0,2851403000.0
CFR,24,2014-09-30,23490603000.0,27370633000.0,485739000.0,10704000.0,237502000.0,2817852000.0
CFR,25,2014-06-30,22516606000.0,26523439000.0,321911000.0,6797000.0,156640000.0,2770674000.0
CFR,26,2014-03-31,21065633000.0,24685085000.0,157941000.0,3371000.0,77490000.0,2565919000.0
CFR,27,2013-12-31,20688786000.0,24312939000.0,611910000.0,21945000.0,302818000.0,2514161000.0
CFR,28,2013-09-30,19978894000.0,23529760000.0,457395000.0,17284000.0,224280000.0,2481168000.0
CFR,29,2013-06-30,19078219000.0,22571514000.0,305572000.0,11786000.0,150289000.0,2427838000.0
CFR,30,2013-03-31,19043904000.0,22497721000.0,155814000.0,5949000.0,77780000.0,2443331000.0
CFR,31,2012-12-31,19497366000.0,23124069000.0,575093000.0,26751000.0,288787000.0,2417482000.0
CFR,32,2012-09-30,18245197000.0,21847541000.0,429026000.0,20364000.0,212900000.0,2418617000.0
CFR,33,2012-06-30,17277117000.0,20866226000.0,284576000.0,13737000.0,141742000.0,2362611000.0
CFR,34,2012-03-31,16909021000.0,20417181000.0,142040000.0,7158000.0,71979000.0,2320713000.0
CFR,35,2011-12-31,16756748000.0,20317245000.0,558098000.0,41241000.0,290002000.0,2283537000.0
CFR,36,2011-09-30,16063873000.0,19489642000.0,414265000.0,33052000.0,222342000.0,2246876000.0
CFR,37,2011-06-30,15104131000.0,18478386000.0,276858000.0,23634000.0,143125000.0,2176645000.0
CFR,38,2011-03-31,14709559000.0,17941644000.0,140061000.0,11834000.0,72333000.0,2097351000.0
CFR,39,2010-12-31,14479342000.0,17617092000.0,535541000.0,53880000.0,282033000.0,2061680000.0
CFR,40,2010-09-30,14530087000.0,17738126000.0,401800000.0,41267000.0,211755000.0,2116137000.0
CFR,41,2010-06-30,13952160000.0,17059879000.0,269248000.0,27995000.0,141325000.0,2040851000.0
TCF,0,2020-09-30,39172097000.0,47565789000.0,1148280000.0,197203000.0,388827000.0,5637044000.0
TCF,1,2020-06-30,39210872000.0,50062460000.0,774840000.0,153922000.0,270017000.0,5635255000.0
TCF,2,2020-03-31,35799303000.0,48594383000.0,374599000.0,93911000.0,136963000.0,5625684000.0
TCF,3,2019-12-31,34468463000.0,46651553000.0,1332115000.0,298229000.0,465532000.0,5707015000.0
TCF,4,2019-09-30,35286074000.0,45692511000.0,915544000.0,197204000.0,307480000.0,5670104000.0
TCF,5,2019-06-30,15879436000.0,22491765000.0,220018000.0,107424000.0,63021000.0,2953535000.0
TCF,6,2019-03-31,16061999000.0,21800313000.0,109015000.0,51157000.0,24857000.0,2897509000.0
TCF,7,2018-12-31,15593282000.0,21498341000.0,424198000.0,143663000.0,148536000.0,2836260000.0
TCF,8,2018-09-30,15444852000.0,20905489000.0,315832000.0,97012000.0,116489000.0,2788924000.0
TCF,9,2018-06-30,14551536000.0,20282603000.0,206171000.0,58116000.0,78572000.0,2750999000.0
TCF,10,2018-03-31,13967817000.0,19756084000.0,103358000.0,26071000.0,40554000.0,2703277000.0
TCF,11,2017-12-31,13642803000.0,19280873000.0,421994000.0,74557000.0,144019000.0,2668749000.0
TCF,12,2017-09-30,13805245000.0,19354308000.0,321972000.0,51300000.0,111700000.0,2673089000.0
TCF,13,2017-06-30,13204367000.0,18781405000.0,202433000.0,29984000.0,79578000.0,2639442000.0
TCF,14,2017-03-31,13132347000.0,17636973000.0,104196000.0,12799000.0,38010000.0,2600051000.0
TCF,15,2016-12-31,12873122000.0,17355179000.0,338418000.0,29298000.0,122350000.0,2581526000.0
TCF,16,2016-09-30,13272862000.0,17383637000.0,224116000.0,17329000.0,68086000.0,2563666000.0
TCF,17,2016-06-30,7464646000.0,9514172000.0,117972000.0,10576000.0,40316000.0,1050299000.0
TCF,18,2016-03-31,7650116000.0,9303632000.0,58887000.0,5134000.0,19419000.0,1032291000.0
TCF,19,2015-12-31,7456767000.0,9188797000.0,223894000.0,17781000.0,80216000.0,1015974000.0
TCF,20,2015-09-30,7615211000.0,9264554000.0,166070000.0,12628000.0,60164000.0,998363000.0
TCF,21,2015-06-30,7292979000.0,9020725000.0,107805000.0,7394000.0,39949000.0,980791000.0
TCF,22,2015-03-31,6320353000.0,7551635000.0,51020000.0,3450000.0,19275000.0,810501000.0
TCF,23,2014-12-31,6078971000.0,7322143000.0,179925000.0,14710000.0,63095000.0,797133000.0
TCF,24,2014-09-30,5431927000.0,6596985000.0,127309000.0,11147000.0,44868000.0,801606000.0
TCF,25,2014-06-30,5092913000.0,6231975000.0,84607000.0,7586000.0,29517000.0,793498000.0
TCF,26,2014-03-31,5231293000.0,6338328000.0,42182000.0,3866000.0,13716000.0,705595000.0
TCF,27,2013-12-31,5122385000.0,6184708000.0,164948000.0,17414000.0,60409000.0,696500000.0
TCF,28,2013-09-30,5191305000.0,6258236000.0,122543000.0,13396000.0,46831000.0,673317000.0
TCF,29,2013-06-30,4814185000.0,5806211000.0,82998000.0,9112000.0,32187000.0,609571000.0
TCF,30,2013-03-31,5007358000.0,5990528000.0,41957000.0,4727000.0,16239000.0,604755000.0
TCF,31,2012-12-31,4921443000.0,5917252000.0,149109000.0,23213000.0,51872000.0,596341000.0
TCF,32,2012-09-30,4598872000.0,5580421000.0,107898000.0,18081000.0,37993000.0,598103000.0
TCF,33,2012-06-30,4383544000.0,5351781000.0,71832000.0,12490000.0,25931000.0,588989000.0
TCF,34,2012-03-31,,,,,,
TCF,35,2011-12-31,,,,,,
TCF,36,2011-09-30,,,,,,
TCF,37,2011-06-30,,,,,,
BOKF,0,2020-09-30,34973000000.0,46067224000.0,865276000.0,138766000.0,647171000.0,5218787000.0
BOKF,1,2020-06-30,33892314000.0,45819874000.0,564011000.0,115857000.0,413012000.0,5096995000.0
BOKF,2,2020-03-31,29244152000.0,47119162000.0,268624000.0,87577000.0,180319000.0,5026248000.0
BOKF,3,2019-09-30,26167076000.0,43127205000.0,843586000.0,319471000.0,515785000.0,4829016000.0
BOKF,4,2019-06-30,25305121000.0,41893073000.0,564294000.0,203360000.0,329335000.0,4709438000.0
BOKF,5,2019-03-31,25331802000.0,39882962000.0,287157000.0,97972000.0,157270000.0,4522873000.0
BOKF,6,2018-09-30,21632289000.0,33289864000.0,743523000.0,163653000.0,480329000.0,3615032000.0
BOKF,7,2018-06-30,22169264000.0,33833107000.0,490906000.0,101289000.0,312388000.0,3553431000.0
BOKF,8,2018-03-31,22205200000.0,33361492000.0,244430000.0,45671000.0,155989000.0,3495029000.0
BOKF,9,2017-12-31,22061305000.0,32272160000.0,1025517000.0,131050000.0,695094000.0,3495367000.0
BOKF,10,2017-09-30,21848079000.0,33005515000.0,761530000.0,92146000.0,528258000.0,3488814000.0
BOKF,11,2017-06-30,22316474000.0,32263532000.0,495596000.0,55185000.0,352548000.0,3422469000.0
BOKF,12,2017-03-31,22575359000.0,32628932000.0,244711000.0,25208000.0,170296000.0,3341744000.0
BOKF,13,2016-12-31,22748095000.0,32772281000.0,1017590000.0,81889000.0,674020000.0,3274854000.0
BOKF,14,2016-09-30,21095504000.0,32779231000.0,761745000.0,60350000.0,539968000.0,3398311000.0
BOKF,15,2016-06-30,20759801000.0,31970450000.0,499625000.0,38879000.0,348626000.0,3368833000.0
BOKF,16,2016-03-31,20418320000.0,31413945000.0,244900000.0,19224000.0,159744000.0,3321555000.0
BOKF,17,2015-12-31,21088158000.0,31476128000.0,904564000.0,63474000.0,666853000.0,3230556000.0
BOKF,18,2015-09-30,20619443000.0,30566905000.0,672006000.0,47953000.0,505738000.0,3377226000.0
BOKF,19,2015-06-30,21059729000.0,30725563000.0,447378000.0,32925000.0,342302000.0,3375632000.0
BOKF,20,2015-03-31,21153347000.0,30299978000.0,220265000.0,16843000.0,166017000.0,3357161000.0
BOKF,21,2014-12-31,21140859000.0,29089698000.0,847522000.0,67045000.0,612659000.0,3302179000.0
BOKF,22,2014-09-30,20289056000.0,29105020000.0,621645000.0,50089000.0,462623000.0,3243093000.0
BOKF,23,2014-06-30,20571864000.0,27843770000.0,399811000.0,33012000.0,299575000.0,3212517000.0
BOKF,24,2014-03-31,20389713000.0,27364714000.0,185104000.0,16478000.0,137006000.0,3109925000.0
BOKF,25,2013-12-31,20269327000.0,27015432000.0,840620000.0,70894000.0,614472000.0,3020049000.0
BOKF,26,2013-09-30,19491655000.0,27166367000.0,608574000.0,54018000.0,455151000.0,2991244000.0
BOKF,27,2013-06-30,19496230000.0,27808200000.0,397930000.0,36479000.0,309835000.0,2957637000.0
BOKF,28,2013-03-31,19860291000.0,27447158000.0,201324000.0,18594000.0,159074000.0,3011958000.0
BOKF,29,2012-12-31,21179060000.0,28148631000.0,849573000.0,87322000.0,666111000.0,2957860000.0
BOKF,30,2012-09-30,19142867000.0,27117641000.0,627487000.0,66377000.0,503485000.0,2975657000.0
BOKF,31,2012-06-30,18362197000.0,25576046000.0,409023000.0,46333000.0,327416000.0,2885934000.0
BOKF,32,2012-03-31,18523287000.0,25884173000.0,185237000.0,24639000.0,140381000.0,2834419000.0
BOKF,33,2011-12-31,18762580000.0,25493946000.0,821473000.0,120101000.0,572264000.0,2750468000.0
BOKF,34,2011-09-30,18439022000.0,25066265000.0,602554000.0,93531000.0,434515000.0,2732592000.0
BOKF,35,2011-06-30,17585877000.0,24238182000.0,381658000.0,63166000.0,260538000.0,2667717000.0
BOKF,36,2011-03-31,17872926000.0,23701023000.0,178449000.0,31450000.0,117578000.0,2576133000.0
BOKF,37,2010-12-31,17179061000.0,23941603000.0,753170000.0,142030000.0,520908000.0,2521726000.0
BOKF,38,2010-09-30,16822591000.0,24385952000.0,574809000.0,108532000.0,408995000.0,2503650000.0
BOKF,39,2010-06-30,16087500000.0,23736728000.0,369644000.0,72280000.0,271322000.0,2428738000.0
FFIN,0,2020-09-30,8294888000.0,10567652000.0,164233000.0,12323000.0,104226000.0,1619501000.0
FFIN,1,2020-06-30,8157642000.0,10339817000.0,108640000.0,10159000.0,65651000.0,1582449000.0
FFIN,2,2020-03-31,7210466000.0,9701091000.0,55318000.0,7198000.0,28732000.0,1526362000.0
FFIN,3,2019-12-31,6603806000.0,8262227000.0,196521000.0,30102000.0,108428000.0,1227197000.0
FFIN,4,2019-09-30,6397683000.0,8113839000.0,144583000.0,23301000.0,81081000.0,1205098000.0
FFIN,5,2019-06-30,6369766000.0,7979293000.0,95673000.0,15348000.0,52413000.0,1164748000.0
FFIN,6,2019-03-31,6350741000.0,7945895000.0,47367000.0,7387000.0,24437000.0,1107522000.0
FFIN,7,2018-12-31,6180389000.0,7731854000.0,190684000.0,18930000.0,101764000.0,1053295000.0
FFIN,8,2018-09-30,6145282000.0,7571231000.0,142448000.0,12723000.0,76966000.0,995739000.0
FFIN,9,2018-06-30,6210607000.0,7685470000.0,94943000.0,8100000.0,49912000.0,985628000.0
FFIN,10,2018-03-31,6190763000.0,7567449000.0,47798000.0,3633000.0,24423000.0,969814000.0
FFIN,11,2017-12-31,5962961000.0,7254715000.0,173986000.0,9288000.0,91017000.0,922768000.0
FFIN,12,2017-09-30,5697460000.0,7009164000.0,129891000.0,6726000.0,68715000.0,906556000.0
FFIN,13,2017-06-30,5626609000.0,6947392000.0,85926000.0,3860000.0,44455000.0,887442000.0
FFIN,14,2017-03-31,5661968000.0,6930370000.0,42152000.0,1763000.0,21286000.0,859354000.0
FFIN,15,2016-12-31,5478539000.0,6809931000.0,165830000.0,5451000.0,85132000.0,837885000.0
FFIN,16,2016-09-30,5235464000.0,6686736000.0,123840000.0,4008000.0,63410000.0,867944000.0
FFIN,17,2016-06-30,5056289000.0,6614990000.0,81836000.0,2642000.0,41258000.0,866158000.0
FFIN,18,2016-03-31,5063807000.0,6525185000.0,41081000.0,1312000.0,19821000.0,838608000.0
FFIN,19,2015-12-31,5190169000.0,6665070000.0,149464000.0,4088000.0,73432000.0,804986000.0
FFIN,20,2015-09-30,5097283000.0,6467645000.0,109122000.0,3042000.0,54152000.0,792034000.0
FFIN,21,2015-06-30,4727419000.0,6115236000.0,69151000.0,1977000.0,33707000.0,701193000.0
FFIN,22,2015-03-31,4837007000.0,6025372000.0,33943000.0,970000.0,15897000.0,706248000.0
FFIN,23,2014-12-31,4750255000.0,5848202000.0,137925000.0,4181000.0,66624000.0,681537000.0
FFIN,24,2014-09-30,4464364000.0,5575811000.0,101489000.0,3143000.0,49601000.0,658765000.0
FFIN,25,2014-06-30,4318458000.0,5446356000.0,67449000.0,2073000.0,32277000.0,640036000.0
FFIN,26,2014-03-31,4234281000.0,5281027000.0,32448000.0,1036000.0,16405000.0,616566000.0
FFIN,27,2013-12-31,4135075000.0,5222208000.0,126012000.0,4088000.0,62052000.0,587647000.0
FFIN,28,2013-09-30,4000557000.0,5075635000.0,92917000.0,3014000.0,46260000.0,568241000.0
FFIN,29,2013-06-30,3917589000.0,4982605000.0,57382000.0,1851000.0,29113000.0,575864000.0
FFIN,30,2012-12-31,3632584000.0,4502012000.0,109049000.0,5112000.0,57209000.0,556963000.0
FFIN,31,2012-09-30,3444398000.0,4310547000.0,80415000.0,4063000.0,42261000.0,549912000.0
FFIN,32,2012-06-30,3392180000.0,4291804000.0,53213000.0,2895000.0,26762000.0,534263000.0
FFIN,33,2012-03-31,3398072000.0,4227250000.0,26468000.0,1540000.0,13298000.0,517005000.0
FFIN,34,2011-09-30,3186606000.0,3935403000.0,78367000.0,6320000.0,38646000.0,499199000.0
FFIN,35,2011-06-30,3119441000.0,3841015000.0,52048000.0,4466000.0,24736000.0,477705000.0
FFIN,36,2011-03-31,,,,,,
FFIN,37,2010-12-31,,,,,,
FFIN,38,2010-09-30,,,,,,
FFIN,39,2010-06-30,,,,,,
TFSL,0,2020-06-30,,14834743000.0,141711000.0,157434000.0,36199000.0,1655476000.0
TFSL,1,2020-03-31,,15002343000.0,96878000.0,110355000.0,20877000.0,1655164000.0
TFSL,2,2019-12-31,,14806191000.0,47320000.0,55867000.0,11930000.0,1728949000.0
TFSL,3,2019-09-30,,14542356000.0,193673000.0,216666000.0,20464000.0,1696754000.0
TFSL,4,2019-06-30,,14371739000.0,148575000.0,158683000.0,14665000.0,1710482000.0
TFSL,5,2019-03-31,,14206627000.0,98707000.0,103158000.0,9582000.0,1735985000.0
TFSL,6,2018-12-31,,14238678000.0,47980000.0,50476000.0,4676000.0,1743780000.0
TFSL,7,2018-09-30,,14137331000.0,192313000.0,162104000.0,21536000.0,1758404000.0
TFSL,8,2018-06-30,,13936593000.0,146893000.0,116568000.0,16651000.0,1745294000.0
TFSL,9,2018-03-31,,13956028000.0,95464000.0,75723000.0,9460000.0,1729795000.0
TFSL,10,2017-12-31,,13887880000.0,45776000.0,37241000.0,4844000.0,1700678000.0
TFSL,11,2017-09-30,,13692563000.0,182404000.0,130099000.0,19849000.0,1689959000.0
TFSL,12,2017-06-30,,13525579000.0,135225000.0,94230000.0,14724000.0,1677624000.0
TFSL,13,2017-03-31,,13406192000.0,90556000.0,60781000.0,9920000.0,1678390000.0
TFSL,14,2016-12-31,,13189875000.0,45262000.0,29984000.0,5368000.0,1665333000.0
TFSL,15,2016-09-30,,12906062000.0,181004000.0,118026000.0,24952000.0,1660458000.0
TFSL,16,2016-06-30,,12624350000.0,138950000.0,87780000.0,18928000.0,1678998000.0
TFSL,17,2016-03-31,,12466565000.0,93974000.0,58176000.0,12820000.0,1690407000.0
TFSL,18,2015-12-31,,12390639000.0,47633000.0,28790000.0,6117000.0,1702445000.0
TFSL,19,2015-09-30,,12368886000.0,187992000.0,113350000.0,24260000.0,1729370000.0
TFSL,20,2015-06-30,,12259506000.0,142621000.0,84908000.0,17974000.0,1761275000.0
TFSL,21,2015-03-31,,12133694000.0,94802000.0,56825000.0,11848000.0,1790426000.0
TFSL,22,2014-12-31,,12067843000.0,45973000.0,28600000.0,5953000.0,1812693000.0
TFSL,23,2014-09-30,,11803195000.0,175476000.0,103251000.0,21900000.0,1839457000.0
TFSL,24,2014-06-30,,11716018000.0,130639000.0,75419000.0,16322000.0,1864864000.0
TFSL,25,2014-03-31,,11534441000.0,87790000.0,49535000.0,10612000.0,1884128000.0
TFSL,26,2013-12-31,,11381447000.0,42859000.0,25224000.0,5078000.0,1862440000.0
TFSL,27,2013-06-30,8630530000.0,11136540000.0,134029000.0,88953000.0,23177000.0,1851931000.0
TFSL,28,2013-03-31,8757282000.0,11121761000.0,87763000.0,60877000.0,14353000.0,1835384000.0
TFSL,29,2012-12-31,8804495000.0,11379628000.0,42534000.0,31972000.0,8247000.0,1820044000.0
TFSL,30,2012-06-30,8957149000.0,11494997000.0,126541000.0,118674000.0,18431000.0,1805440000.0
TFSL,31,2012-03-31,8823176000.0,11286768000.0,85799000.0,80313000.0,12120000.0,1799803000.0
TFSL,32,2011-09-30,8715910000.0,10892948000.0,168055000.0,179845000.0,30982000.0,1773924000.0
TFSL,33,2011-06-30,8701896000.0,10877541000.0,126471000.0,136828000.0,23845000.0,1766387000.0
TFSL,34,2011-03-31,8755942000.0,10885060000.0,86919000.0,92587000.0,15086000.0,1752982000.0
TFSL,35,2010-12-31,8793314000.0,11064672000.0,42944000.0,47755000.0,6819000.0,1747576000.0
TFSL,36,2010-09-30,8851941000.0,11076027000.0,161933000.0,210385000.0,58638000.0,1752897000.0
TFSL,37,2010-06-30,8908209000.0,10940202000.0,120113000.0,160218000.0,51810000.0,1761527000.0
SNV,0,2019-12-31,38405504000.0,48203282000.0,1098968000.0,454835000.0,355900000.0,4941690000.0
SNV,1,2019-09-30,37433070000.0,47661182000.0,832847000.0,347850000.0,257945000.0,4868838000.0
SNV,2,2019-06-30,37966722000.0,47318203000.0,556537000.0,226532000.0,169185000.0,4753816000.0
SNV,3,2019-03-31,38075190000.0,46630025000.0,292410000.0,107664000.0,79378000.0,4597753000.0
SNV,4,2018-12-31,26720322000.0,32669192000.0,829455000.0,195892000.0,280093000.0,3133602000.0
SNV,5,2018-09-30,26433658000.0,32075120000.0,619531000.0,136431000.0,212101000.0,3040073000.0
SNV,6,2018-06-30,26442688000.0,31740305000.0,399234000.0,84107000.0,140433000.0,3167694000.0
SNV,7,2018-03-31,26253507000.0,31501028000.0,195179000.0,38850000.0,67046000.0,2956495000.0
SNV,8,2017-12-31,26147900000.0,31221837000.0,821313000.0,139188000.0,345327000.0,2961566000.0
SNV,9,2017-09-30,26186228000.0,31642123000.0,594780000.0,101966000.0,275974000.0,2997078000.0
SNV,10,2017-06-30,25218816000.0,30687966000.0,389133000.0,66887000.0,140539000.0,2997947000.0
SNV,11,2017-03-31,25105712000.0,30679589000.0,197388000.0,32474000.0,71839000.0,2962127000.0
SNV,12,2016-12-31,24648060000.0,30104002000.0,755923000.0,123623000.0,273194000.0,2927924000.0
SNV,13,2016-09-30,24192003000.0,29727096000.0,562716000.0,92620000.0,199188000.0,2906659000.0
SNV,14,2016-06-30,23925922000.0,29459691000.0,376844000.0,62073000.0,131033000.0,2951659000.0
SNV,15,2016-03-31,23449928000.0,29171257000.0,188233000.0,31130000.0,63147000.0,2953268000.0
SNV,16,2015-12-31,23242661000.0,28792653000.0,717655000.0,118644000.0,267920000.0,3000196000.0
SNV,17,2015-09-30,22777413000.0,28167827000.0,534621000.0,88450000.0,201746000.0,3017116000.0
SNV,18,2015-06-30,22649181000.0,28205870000.0,356713000.0,58147000.0,134687000.0,3006157000.0
SNV,19,2015-03-31,22107849000.0,27633784000.0,178908000.0,28138000.0,65854000.0,3030635000.0
SNV,20,2014-12-31,21531700000.0,27051231000.0,744998000.0,109408000.0,262104000.0,3041270000.0
SNV,21,2014-09-30,20989781000.0,26519110000.0,560115000.0,82160000.0,197555000.0,3076545000.0
SNV,22,2014-06-30,20993467000.0,26627290000.0,366365000.0,55029000.0,133569000.0,3053051000.0
SNV,23,2014-03-31,20950891000.0,26435426000.0,184161000.0,27868000.0,70182000.0,2998496000.0
SNV,24,2013-12-31,20876790000.0,26201604000.0,741537000.0,118822000.0,253571000.0,2948985000.0
SNV,25,2013-09-30,20973856000.0,26218360000.0,550799000.0,89894000.0,193390000.0,2931860000.0
SNV,26,2013-06-30,20710703000.0,26563174000.0,363472000.0,60012000.0,129813000.0,3568204000.0
SNV,27,2013-03-31,20561193000.0,26212879000.0,182286000.0,30577000.0,64721000.0,3578106000.0
SNV,28,2012-12-31,21057044000.0,26760012000.0,816237000.0,150023000.0,313966000.0,3569431000.0
SNV,29,2012-09-30,20846830000.0,25764644000.0,,,,2875700000.0
SNV,30,2012-06-30,21565065000.0,26294110000.0,411399000.0,82148000.0,160616000.0,2853389000.0
SNV,31,2012-03-31,22137702000.0,27064792000.0,203133000.0,41695000.0,84139000.0,2821763000.0
SNV,32,2011-12-31,22411752000.0,27162845000.0,903765000.0,217602000.0,338874000.0,2827452000.0
SNV,33,2011-09-30,23109427000.0,28253924000.0,684683000.0,171455000.0,265405000.0,2829448000.0
SNV,34,2011-06-30,22875017000.0,28313910000.0,462131000.0,118089000.0,132013000.0,2850938000.0
SNV,35,2011-03-31,23205879000.0,28678203000.0,239716000.0,60998000.0,64164000.0,2882605000.0
SNV,36,2010-12-31,,,,334248000.0,,2997918000.0
SNV,37,2010-09-30,,,,262658000.0,,3216066000.0
SNV,38,2010-06-30,,,,181629000.0,,3423932000.0
NYCB,0,2019-12-31,31657132000.0,53640821000.0,511218000.0,847760000.0,84230000.0,6711694000.0
NYCB,1,2019-09-30,31572176000.0,52537629000.0,385121000.0,639547000.0,66768000.0,6695007000.0
NYCB,2,2019-06-30,32332526000.0,52776253000.0,261819000.0,420911000.0,42382000.0,6674678000.0
