,,symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
UMPQ,0,UMPQ,2024-12-31,1147606765.0,1230423749.0,1183099758.0,690787920,690787920,690787920,448240563,448240563,448240563,338491633,338491633,338491633,756674751,756674751,756674751,0.46189689025605823,0.48037276586630057,0.4480399835483765,2.0,2.0
UMPQ,1,UMPQ,2023-12-31,1151552848.0,1234654600.0,1187167885.0,734284699,664737458,680467494,476464885,431336860,441543814,359805405,325726698,333434542,804320220,728139616,745369971,0.7998294774541888,0.8398209513268983,0.775834593130563,2.0,2.0
UMPQ,2,UMPQ,2022-12-31,1086885000.0,1287240000.0,1209118750.0,683205627,692041918,703900694,443320543,449054262,456749221,334776250,339106103,344916999,748369266,758048355,771038212,1.4127,1.596,1.225,4.0,4.0
UMPQ,3,UMPQ,2021-12-31,1054706220.0,1233180000.0,1138824782.0,652166831,679645776,657122448,423179995,441010616,426395611,319566990,333031894,321995282,714370012,744469878,719798292,1.0892376,1.21065,0.9309999999999999,11.0,11.0
UMPQ,4,UMPQ,2020-12-31,1140966380.0,1280100000.0,1222673932.0,695863777,720449559,700201428,451534203,467487499,454348831,340978845,353026076,343104329,762234740,789165494,766986113,-7.672103399999999,-7.780500000000001,-7.4578,11.0,11.0
UMPQ,5,UMPQ,2019-12-31,1184855000.0,1283976000.0,1261839879.0,605772663,617672691,613950204,424248930,432583038,429976018,317432419,323668182,321717552,798310973,813993297,809087657,1.6139358,1.6800000000000002,1.5346799999999998,10.0,10.0
UMPQ,6,UMPQ,2018-12-31,1180490000.0,1254600000.0,1240446044.0,515085383,496218188,505957213,378951185,365070484,372235539,263075891,253439617,258413749,863260620,831640025,847962205,1.4883534,1.5750000000000002,1.4112,14.0,14.0
UMPQ,7,UMPQ,2017-12-31,1087321500.0,1199520000.0,1163158707.0,488544861,487647205,492734827,363865955,363197385,366986622,231772402,231346541,233760179,774925166,773501312,781571250,1.06284,1.1235000000000002,0.9996,14.0,14.0
UMPQ,8,UMPQ,2016-12-31,1092799090.0,1207782000.0,1159077605.0,448315555,459318220,450966854,340566260,348924516,342580339,218332987,223691366,219624189,785106543,804374810,789749594,1.0483356,1.092,0.9996,11.0,11.0
UMPQ,9,UMPQ,2015-12-31,1113851000.0,1201560000.0,1174460661.0,378360293,379029860,377203177,275438127,275925557,274595771,176342485,176654550,175803187,864758714,866289038,862114075,1.0467750000000002,1.1025,0.9898,12.0,12.0
HOMB,0,HOMB,2024-12-31,546333338.0,585759455.0,563230245.0,478030495,478030494,478030494,329282494,329282493,329282493,247237894,247237894,247237894,236626455,236626454,236626454,1.9989714676680692,2.0789303263747922,1.9390023236380272,1.0,1.0
HOMB,1,HOMB,2023-12-31,573298227.0,614670265.0,591029101.0,500817985,510637946,493416735,344979237,351743536,339881023,259023610,264102504,255195675,247906327,252767236,244242688,1.7543535560497765,1.8420712338522653,1.701722949368283,1.0,1.0
HOMB,2,HOMB,2022-12-31,601594000.0,632604000.0,629502999.0,548860906,503741311,524007028,378072718,346992917,360952583,283871461,260535557,271017009,271687711,249353383,259384971,1.5704634000000002,1.7577000000000003,1.3719999999999999,3.0,5.0
HOMB,3,HOMB,2021-12-31,605377000.0,693600000.0,663506849.0,535523185,567262726,554151006,368885275,390748473,381716706,276973177,293388903,286607507,265085501,280796665,274306326,1.46421,1.6800000000000002,1.127,8.0,10.0
HOMB,4,HOMB,2020-12-31,654459000.0,707880000.0,693189682.0,572287695,586525341,578011960,394209831,404017170,398152885,295987823,303351548,298948419,283284039,290331714,286117567,1.2138,1.344,1.0682,8.0,10.0
HOMB,5,HOMB,2019-12-31,640200000.0,675648000.0,671371496.0,527804183,525598834,527088296,387246995,385628943,386721753,294119537,292890603,293720608,262712505,261614801,262356175,1.7443734,1.8070499999999998,1.666,7.0,9.0
HOMB,6,HOMB,2018-12-31,653877000.0,692977800.0,686645764.0,428365609,423815396,426640047,329758010,326255233,328429663,164321264,162575800,163659337,346027984,342352383,344634098,1.8034721999999999,1.8616500000000002,1.7247999999999999,10.0,11.0
HOMB,7,HOMB,2017-12-31,537530350.0,575790000.0,566751467.0,369180989,369714839,367258872,318353036,318813388,316695552,199525084,199813605,198486270,236938431,237281053,235704826,1.3821,1.4385000000000001,1.3132000000000001,10.0,10.0
HOMB,8,HOMB,2016-12-31,477240000.0,510470220.0,505817129.0,294486445,293351924,294789599,256845559,255856051,257109964,162458863,161832984,162626103,238304895,237386816,238550214,1.2693288,1.3230000000000002,1.2054,11.0,11.0
HOMB,9,HOMB,2015-12-31,405974100.0,435921480.0,429841334.0,241296527,237716125,238776483,207334403,204257937,205169051,132333639,130370049,130951578,215992837,212787896,213737059,1.0397676,1.07625,0.9898,10.0,10.0
STL,0,STL,2024-12-31,1393226837.0,1493768980.0,1436316327.0,1316687997.0,1316687997.0,1316687997.0,824127727.0,824127727.0,824127727.0,651774980.0,651774980.0,651774980.0,778120189.0,778120189.0,778120189.0,2.7060056728473776,2.8142458997612727,2.624825502661956,2.0,2.0
STL,1,STL,2023-12-31,1223697329.0,1312005384.0,1261543638.0,1451544884.0,920846619.0,1097023979.0,908535955.0,576366788.0,686637898.0,718530617.0,455829162.0,543038886.0,857816265.0,544190687.0,648305831.0,2.1191074569474346,2.2250628297948065,2.0555342332390114,2.0,2.0
STL,2,STL,2022-12-31,824475750.0,1393422000.0,1124658062.0,784624950.0,1164024288.0,985320289.0,491104331.0,728574039.0,616721481.0,388397945.0,576204773.0,487744336.0,463688069.0,687900856.0,582292549.0,1.676095,1.97295,1.4112,3.0,3.0
STL,3,STL,2021-12-31,806446360.0,918714000.0,875997343.0,746372292.0,791350339.0,764678389.0,467161623.0,495313817.0,478619586.0,369462460.0,391727086.0,378524179.0,441081980.0,467662558.0,451900294.0,1.5278573,2.1,0.6272,12.0,13.0
STL,4,STL,2020-12-31,831868120.0,893811720.0,881979469.0,805398969.0,715063672.0,789238338.0,504106990.0,447565256.0,493991896.0,398681312.0,353964350.0,390681623.0,475964846.0,422579595.0,466414434.0,1.0487133,1.1969999999999998,0.9114,12.0,13.0
STL,5,STL,2019-12-31,891042000.0,1078340940.0,964062224.0,808310915.0,912950416.0,826621485.0,537639584.0,607239457.0,549818669.0,424670989.0,479646568.0,434291010.0,478903055.0,540899219.0,489751588.0,2.0724089,2.1734999999999998,1.99626,10.0,11.0
STL,6,STL,2018-12-31,938425530.0,1005516000.0,992838155.0,508765315.0,481605307.0,504875943.0,295143704.0,279387706.0,292887411.0,151724119.0,143624455.0,150564230.0,749194006.0,709198914.0,743466622.0,1.990811,2.0895,1.911,11.0,12.0
STL,7,STL,2017-12-31,575404000.0,651310800.0,613457301.0,420857787.0,436961296.0,420173108.0,305740331.0,317439038.0,305242933.0,206386593.0,214283675.0,206050830.0,395017440.0,410132205.0,394374800.0,1.3848211000000001,1.47,1.323,12.0,12.0
STL,8,STL,2016-12-31,390240700.0,425442000.0,416726519.0,197707925.0,198883355.0,198317705.0,127074692.0,127830187.0,127466622.0,85773374.0,86283321.0,86037920.0,358093523.0,360222489.0,359197971.0,1.1037886,1.1760000000000002,1.0486,10.0,10.0
STL,9,STL,2015-12-31,300797000.0,325992000.0,320224582.0,,,,,,,,,,,,,0.9594999999999999,1.008,0.9211999999999999,6.0,6.0
BOH,0,BOH,2024-12-31,699578911.0,750063987.0,721215372.0,415570591,415570591,415570591,302413790,302413790,302413790,239023765,239023765,239023765,418163833,418163833,418163833,6.936892013463499,7.214367694002039,6.728785253059594,1.0,1.0
BOH,1,BOH,2023-12-31,686499692.0,736040907.0,707731641.0,407145709,415128958,401128777,296282942,302092411,291904376,234178025,238769751,230717266,409686378,417719444,403631900,5.918724919101298,6.214661165056364,5.741163171528259,1.0,1.0
BOH,2,BOH,2022-12-31,673665000.0,708390000.0,704917499.0,411882111,384595521,402123696,299729657,279873004,292628387,236902262,221207832,231289514,414452336,386995473,404633028,5.1005,5.3025,4.949,2.0,2.0
BOH,3,BOH,2021-12-31,621699190.0,700128000.0,666327707.0,372757305,391201255,376371314,271258247,284680046,273888188,214398845,225007253,216477515,375083384,393642428,378719946,4.1564833000000005,4.61685,3.7239999999999998,5.0,7.0
BOH,4,BOH,2020-12-31,640413400.0,687200520.0,679794473.0,380254253,386650209,385029355,276713832,281368216,280188709,218710865,222389628,221457362,382627114,389062983,387432015,3.721345,4.032,3.3712,5.0,7.0
BOH,5,BOH,2019-12-31,661502170.0,698088000.0,693471679.0,366759423,359682652,361701461,284436545,278948226,280513894,231150348,226690209,227962565,405297814,397477429,399708371,5.6061060000000005,5.859,5.353739999999999,4.0,6.0
BOH,6,BOH,2018-12-31,628453300.0,676260000.0,668038489.0,336060566,331280607,333781336,274929928,271019461,273065298,189402007,186708047,188117445,384185406,378720943,381579784,5.33785,5.572350000000001,5.1548,8.0,9.0
BOH,7,BOH,2017-12-31,612758700.0,668885400.0,655803101.0,324104066,327608489,327925846,268987330,271895795,272159183,188027111,190060182,190244295,368185435,372166495,372527016,4.4411114000000005,4.6725,4.2238,9.0,10.0
BOH,8,BOH,2016-12-31,591360500.0,638622000.0,625525651.0,299056177,299031538,298990807,245177073,245156872,245123480,170417800,170403759,170380549,370205694,370175192,370124771,4.2723,4.4625,4.1258,10.0,11.0
BOH,9,BOH,2015-12-31,557653000.0,602270220.0,589999707.0,297251824,298220595,297543569,245200402,245999532,245441059,168214080,168762305,168379178,332300208,333383205,332626352,3.68145,3.85875,3.5476,9.0,10.0
PACW,0,PACW,2024-12-31,1081933242.0,1160010899.0,1115395095.0,867177081,867177082,867177082,612548545,612548546,612548546,453537934,453537934,453537934,507361182,507361183,507361183,5.256254922272002,5.466505119162882,5.098567274603842,2.0,1.0
PACW,1,PACW,2023-12-31,1088752630.0,1167322407.0,1122425391.0,901163321,858868228,857897058,636555432,606679414,605993408,471312907,449192362,448684436,527245586,502499904,501931700,4.045300500229506,4.247565525240981,3.9239414852226204,2.0,1.0
PACW,2,PACW,2022-12-31,1058658000.0,1190952000.0,1146442500.0,890013888,864773425,873974449,628679798,610850672,617350007,465481698,452280809,457092991,520722364,505954871,511338134,3.1755966,3.57,2.842,4.0,5.0
PACW,3,PACW,2021-12-31,1012865270.0,1172694000.0,1116982378.0,827417577,872697312,854432920,584463594,616447875,603546443,432743515,456425042,446872674,484099004,510590917,499904930,2.9323979999999996,3.6854999999999998,1.9796,11.0,12.0
PACW,4,PACW,2020-12-31,1088271130.0,1194624000.0,1162193706.0,881482335,896198039,889371273,622653359,633048102,628225874,461019654,468716040,465145607,515730790,524340539,520346388,1.9346034,2.2260000000000004,1.6954,11.0,12.0
PACW,5,PACW,2019-12-31,1106250080.0,1194420000.0,1170914657.0,811023065,790811761,791071423,632752193,616983533,617186118,464923999,453337744,453486597,555735939,541886582,542064510,3.8637600000000005,4.0215000000000005,3.6946,12.0,13.0
PACW,6,PACW,2018-12-31,1107237540.0,1226040000.0,1201517881.0,741921412,714231960,718189691,610683077,587891608,591149256,393908754,379207578,381308859,609232139,586494821,589744729,3.7740000000000005,3.9375,3.5868,14.0,14.0
PACW,7,PACW,2017-12-31,1005790090.0,1156884000.0,1127497342.0,681386339,691592449,691032018,574311314,582913606,582441242,362502004,367931721,367633568,530969511,538922610,538485894,3.0579600000000005,3.2235,2.8811999999999998,15.0,15.0
PACW,8,PACW,2016-12-31,977112040.0,1107312000.0,1080059774.0,685327814,672170742,675490013,572238945,561252979,564024522,357093949,350238383,351967908,509529787,499747724,502215547,2.9715966,3.1500000000000004,2.8126,13.0,13.0
PACW,9,PACW,2015-12-31,819844000.0,947274000.0,919420271.0,433619150,448956096,448188539,350379644,362772440,362152227,208157305,215519751,215151287,517866783,536183536,535266851,2.9409966,3.0975,2.7538,12.0,12.0
FNB,0,FNB,2024-12-31,1219962452.0,1308000979.0,1257693249.0,869642985,869642985,869642985,484162935,484162935,484162935,397815405,397815405,397815405,760680624,760680625,760680624,0.785325841130129,0.8167388747753342,0.7617660658962252,2.0,2.0
FNB,1,FNB,2023-12-31,1215394780.0,1303103681.0,1252984309.0,880978648,866060172,852122026,490473925,482168249,474408359,403000868,396176459,389800498,770595979,757546721,745354962,0.8124446870217525,0.8530669213728402,0.7880713464111,2.0,2.0
FNB,2,FNB,2022-12-31,1188750520.0,1296491400.0,1267017394.0,877258999,845854228,861883459,488403058,470918842,479842917,401299327,386933315,394265836,767342386,739872491,753893332,0.848905,0.8925,0.81438,3.0,3.0
FNB,3,FNB,2021-12-31,1140440640.0,1289982780.0,1237211158.0,835404115,848567799,840851752,465100872,472429589,468133776,382152945,388174630,384644949,730731731,742246064,735496803,0.7752356,0.9974999999999999,0.22540000000000002,9.0,10.0
FNB,4,FNB,2020-12-31,1167224280.0,1299797220.0,1258063704.0,834917939,875409749,854743917,464830200,487373512,475868067,381930546,400453395,390999876,730306471,765724839,747648343,0.9248671,1.1025,0.8133999999999999,9.0,10.0
FNB,5,FNB,2019-12-31,1182717120.0,1256130000.0,1245193879.0,806704506,803945751,806019537,456358494,454797846,455971002,376596722,375308842,376276955,763289870,760679584,762641764,1.1919312999999998,1.2495,1.14562,8.0,9.0
FNB,6,FNB,2018-12-31,1171421470.0,1248402480.0,1234349620.0,642922226,634264761,637791448,395630181,390302702,392472893,221212383,218233580,219447019,824659209,813554508,818078096,1.1212010000000001,1.1802000000000001,1.078,12.0,12.0
FNB,7,FNB,2017-12-31,1054876940.0,1139544000.0,1120486311.0,499762668,505578913,503212050,328938575,332766767,331208923,228146833,230802010,229721512,756815853,765623687,762039427,0.9347146000000001,0.987,0.882,13.0,13.0
FNB,8,FNB,2016-12-31,790144540.0,843744010.0,833535457.0,400120442,399541325,399699685,285210199,284797398,284910279,198280467,197993484,198071960,535279887,534505145,534716999,0.8214633,0.9555000000000001,0.7742,8.0,9.0
FNB,9,FNB,2015-12-31,636198750.0,680340000.0,671842202.0,310753381,307814014,308945855,221844808,219746413,220554427,154658136,153195250,153758553,448519329,444276856,445910475,0.8875375000000001,0.9345000000000001,0.8428,10.0,10.0
FHB,0,FHB,2024-12-31,734917863.0,787953173.0,757647282.0,547371097.0,547371097.0,547371098.0,376578828.0,376578828.0,376578828.0,280577854.0,280577855.0,280577855.0,379083775.0,379083775.0,379083775.0,2.375733041828905,2.4707623635020615,2.3044610505740377,2.0,2.0
FHB,1,FHB,2023-12-31,726955513.0,779416220.0,749438673.0,557606993.0,535518796.0,531196292.0,383620890.0,368424715.0,365450931.0,285824689.0,274502464.0,272286784.0,386172681.0,370875423.0,367881857.0,1.9450847974092367,2.0423390372796986,1.8867322534869595,2.0,2.0
FHB,2,FHB,2022-12-31,695296000.0,776220000.0,752438784.0,529116417.0,534474452.0,536377375.0,364020024.0,367706231.0,369015398.0,271220658.0,273967142.0,274942564.0,366441433.0,370152159.0,371470035.0,1.608425,1.785,1.4405999999999999,5.0,5.0
FHB,3,FHB,2021-12-31,683811200.0,755745540.0,729992567.0,520389003.0,520534003.0,520206639.0,358015763.0,358115519.0,357890301.0,266747059.0,266821384.0,266653580.0,360397232.0,360497652.0,360270935.0,1.3117375,1.5225,1.1172,7.0,9.0
FHB,4,FHB,2020-12-31,689670000.0,762008340.0,736505142.0,513298363.0,538022451.0,523222062.0,353137564.0,370147173.0,359964843.0,263112456.0,275785817.0,268199261.0,355486584.0,372609339.0,362359277.0,1.0781749999999999,1.2705,0.8526,7.0,9.0
FHB,5,FHB,2019-12-31,745447910.0,785787600.0,780972211.0,502293153.0,497541542.0,499307410.0,365067463.0,361613985.0,362897421.0,269479551.0,266930319.0,267877705.0,394579405.0,390846749.0,392233937.0,2.1614,2.2575,2.0776,6.0,8.0
FHB,6,FHB,2018-12-31,731380000.0,778321200.0,770815796.0,445849867.0,448163047.0,447303931.0,386662494.0,388668595.0,387923529.0,192811120.0,193811472.0,193439941.0,384247133.0,386240702.0,385500290.0,2.035857,2.1420000000000003,1.9404,8.0,11.0
FHB,7,FHB,2017-12-31,696751000.0,737642580.0,731932536.0,480486216.0,462472708.0,475184537.0,396268205.0,381412044.0,391895787.0,245306910.0,236110313.0,242600196.0,368613655.0,354794268.0,364546377.0,1.65842,1.7325,1.5974,8.0,10.0
FHB,8,FHB,2016-12-31,653780000.0,719109180.0,694454372.0,,,,,,,,,,,,,1.5695400000000002,1.7010000000000003,1.4994,9.0,11.0
PPBI,0,PPBI,2024-12-31,759876768.0,814713236.0,783378112.0,556031497,556031497,556031497,374136025,374136026,374136025,274422199,274422200,274422200,454943137,454943138,454943137,684.9050036606585,712.3012038070849,664.3578535508387,2.0,2.0
PPBI,1,PPBI,2023-12-31,699744634.0,750241669.0,721386221.0,530663949,502124082,503303372,357067004,337863429,338656936,261902372,247816888,248398911,434187494,410836268,411801159,39.48653239819229,41.46085901810191,38.30193642624652,2.0,2.0
PPBI,2,PPBI,2022-12-31,620315000.0,702882000.0,674264499.0,472135762,467969910,471175496,317685236,314882166,317039104,233016538,230960536,232542612,386299924,382891438,385514238,2.32203,2.57355,2.05996,4.0,4.0
PPBI,3,PPBI,2021-12-31,601012000.0,687072000.0,654614099.0,446649636,467284515,458397288,300536428,314420986,308441051,220438189,230622268,226236092,365447260,382330650,375059150,2.0538719999999997,2.3604000000000003,1.764,8.0,8.0
PPBI,4,PPBI,2020-12-31,540193000.0,590274000.0,573292300.0,406937865,394801249,402614579,273815632,265649286,270906629,200838955,194849084,198705253,332955221,323025081,329417922,0.0612,0.672,-0.22540000000000002,8.0,8.0
PPBI,5,PPBI,2019-12-31,429590690.0,483848220.0,460808650.0,276551955,294695253,282720950,188707086,201087287,192916541,140567290,149789262,143702899,294215750,313517887,300778768,2.5941966,2.709,2.4696,8.0,8.0
PPBI,6,PPBI,2018-12-31,376942000.0,398412000.0,395511426.0,221016860,192829987,213000137,166422386,145198093,160385913,97841893,85363854,94292972,287160259,250537941,276744383,2.51226,2.5956,2.3912,9.0,9.0
PPBI,7,PPBI,2017-12-31,231539000.0,280500000.0,252089165.0,132632933,151206664,137501201,103453719,117941234,107250969,63517016,72411851,65848397,170040231,193852429,176281528,1.7544,1.8165,1.666,9.0,9.0
PPBI,8,PPBI,2016-12-31,146187730.0,155346000.0,153527377.0,83085313,72027967,80639740,59819428,51858404,58058674,37478948,32491091,36375775,117457541,101825793,114000240,1.4731758000000001,1.533,1.3916,10.0,10.0
PPBI,9,PPBI,2015-12-31,99522000.0,121992000.0,107688454.0,54281502,62583031,55737528,38790746,44723201,39831254,23579551,27185685,24212040,84686863,97638429,86958470,1.29132,1.3965,1.1465999999999998,8.0,8.0
BKU,0,BKU,2024-12-31,1007048470.0,1079722071.0,1038194299.0,1158196231,1158196230,1158196231,465338438,465338438,465338438,360638556,360638556,360638556,571289219,571289219,571289219,6.019489630430069,6.260269215647272,5.838904941517167,3.0,3.0
BKU,1,BKU,2023-12-31,972058721.0,1042207289.0,1002122393.0,1155335794,1104058988,1094469847,464189176,443587254,439734543,359747876,343781330,340795468,569878287,544585607,539855689,4.414873432311799,4.635617103927389,4.282427229342445,3.0,3.0
BKU,2,BKU,2022-12-31,902186330.0,1012217400.0,981813356.0,1085430990,1063205049,1068231847,436102924,427173017,429192677,337980953,331060251,332625493,535397204,524434087,526913594,3.27038,3.7485,2.891,6.0,6.0
BKU,3,BKU,2021-12-31,846810000.0,969948600.0,936386981.0,993114794,1037917731,1025388704,399012255,417013115,411979221,309235584,323186299,319285018,489861529,511960923,505780884,2.4753686,3.6015,1.4504,14.0,16.0
BKU,4,BKU,2020-12-31,854272210.0,936258000.0,914906241.0,995003982,1005255064,1005339744,399771291,403889956,403923978,309823839,313015815,313042183,490793386,495849811,495891580,1.7608945999999999,2.2260000000000004,1.3426,14.0,16.0
BKU,5,BKU,2019-12-31,863300000.0,936503820.0,915069372.0,730422418,660857586,674350944,345404761,312508695,318889483,269963342,244252255,249239386,636931699,576270847,588037117,2.9850146,3.1500000000000004,2.8518,12.0,14.0
BKU,6,BKU,2018-12-31,1038870000.0,1245590340.0,1192728530.0,708272737,774265079,764715118,395704513,432573739,427238276,600974132,656969074,648865868,688479734,752627890,743344807,3.1119211,3.549,2.8811999999999998,15.0,16.0
BKU,7,BKU,2017-12-31,1061859000.0,1164640080.0,1129140810.0,664278144,658067108,654658645,383710080,380122370,378153524,258222228,255807837,254482878,733641173,726781589,723017219,2.41895,2.541,2.303,15.0,16.0
BKU,8,BKU,2016-12-31,928290000.0,1027752000.0,1001613063.0,551384850,557431341,554736314,344312410,348088143,346405232,291854847,295055330,293628818,638985374,645992493,642869297,2.0632885999999995,2.184,1.9697999999999998,14.0,16.0
BKU,9,BKU,2015-12-31,800444000.0,876595140.0,858450967.0,502944187,478684533,488655489,341900211,325408559,332186790,238036219,226554475,231273585,545548241,519233568,530049157,1.8573899999999999,1.9949999999999999,1.7346,14.0,15.0
TCBI,0,TCBI,2024-12-31,970515529.0,1040552733.0,1000531474.0,787225219,787225220,787225220,386168291,386168291,386168291,306219435,306219435,306219435,630712492,630712493,630712493,1540.7838929025236,1602.4152486186247,1494.5603761154478,2.0,3.0
TCBI,1,TCBI,2023-12-31,976872955.0,1047368941.0,1007085520.0,842917903,749548907,784679162,413487980,367686417,384919339,327883099,291563885,305229055,675332597,600526822,628672631,83.27705747655989,87.44091035038788,80.77874575226309,2.0,3.0
TCBI,2,TCBI,2022-12-31,929066000.0,1120194600.0,1028887737.0,794577416,812817276,797604938,389774865,398722311,391259996,309079337,316174383,310257000,636602958,651216447,639028561,4.59102,5.7855,3.7043999999999997,6.0,7.0
TCBI,3,TCBI,2021-12-31,902952630.0,1064278200.0,996173018.0,748149293,797901665,770681441,366999847,391405555,378052848,291019456,310372423,299784142,599405474,639266294,617457878,3.1806558000000003,4.9350000000000005,1.7247999999999999,14.0,16.0
TCBI,4,TCBI,2020-12-31,974850000.0,1077375000.0,1044049218.0,797485755,819372999,806302711,391201534,401938181,395526635,310210640,318724467,313640311,638933073,656468790,645997080,0.0894438,1.4595,-0.9114,14.0,16.0
TCBI,5,TCBI,2019-12-31,1014620000.0,1091374500.0,1074759789.0,706447957,707344704,706059346,406267082,406782787,406043598,320952574,321359983,320776021,653052239,653881207,652693001,6.4332216,6.7515,5.97506,13.0,15.0
TCBI,6,TCBI,2018-12-31,950988000.0,1021632000.0,1007910559.0,563308907,564889941,564057813,389087514,390179563,389604797,235409486,236070207,235722457,609092762,610802298,609902537,6.127435800000001,6.386100000000001,5.733,19.0,20.0
TCBI,7,TCBI,2017-12-31,796079000.0,852822000.0,842609060.0,387908427,391224126,390790887,286469432,288918068,288598122,184234679,185809449,185603685,545625351,550289157,549679770,4.1201676,4.3469999999999995,3.8808,19.0,20.0
TCBI,8,TCBI,2016-12-31,670270000.0,711960000.0,704213790.0,329855236,328235870,329374983,257641662,256376816,257266548,166241677,165425543,165999637,435846442,433706731,435211871,3.0861426,3.2445,2.8811999999999998,17.0,19.0
TCBI,9,TCBI,2015-12-31,584037000.0,623424000.0,614508476.0,311410353,310179900,309241758,249777421,248790494,248038025,160403203,159769413,159286189,361142402,359715446,358627483,2.991252,3.1185000000000005,2.8126,16.0,17.0
BXS,0,BXS,2024-12-31,882375269.0,946051835.0,909665226.0,451483923,451483923,451483923,291918740,291918740,291918740,228317415,228317415,228317415,615094789,615094789,615094789,2.0867092870920954,2.170177658575779,2.0241080084793324,1.0,2.0
BXS,1,BXS,2023-12-31,907497019.0,972986495.0,935563937.0,463591632,472681665,456740525,299747296,305624694,295317534,234440337,239037207,230975702,631590147,643974267,622256303,1.989594812421289,2.0890745530423533,1.9299069680486503,1.0,2.0
BXS,2,BXS,2022-12-31,933334000.0,981444000.0,976632999.0,493242318,455499880,481628893,318918723,294515362,311409759,249434821,230348303,243561860,671985786,620566066,656163833,1.9159699999999997,2.3037,1.568,2.0,3.0
BXS,3,BXS,2021-12-31,928484000.0,1057243260.0,994984991.0,482871821,504056758,485109089,312213406,325911082,313659971,244190414,254903731,245321811,657857179,686719213,660905199,1.669429,1.9110000000000003,1.274,10.0,11.0
BXS,4,BXS,2020-12-31,968545000.0,1056507840.0,1033128539.0,498643967,506954986,505519455,322411301,327785007,326856827,252166460,256369378,255643424,679344911,690667715,688711969,1.7574,2.1420000000000003,1.2642,10.0,11.0
BXS,5,BXS,2019-12-31,899772000.0,965398380.0,946716017.0,421065801,422787246,419904760,286397985,287568867,285608275,239074937,240052348,238415715,639645392,642260457,637881642,2.2938210999999997,2.4045,2.205,9.0,10.0
BXS,6,BXS,2018-12-31,832939000.0,890052000.0,878819368.0,346956873,348028961,346341728,267727379,268554650,267252705,176887114,177433690,176573497,590012088,591835210,588966011,2.2842867,2.436,2.1756,11.0,11.0
BXS,7,BXS,2017-12-31,720613000.0,767652000.0,761656568.0,261526191,257006863,259773522,201127684,197652078,199779787,135892545,133544241,134981835,548818398,539334490,545140384,1.679832,1.7745,1.617,12.0,12.0
BXS,8,BXS,2016-12-31,703832000.0,762960000.0,748938943.0,250308567,251744010,250356018,190252483,191343523,190288549,129889735,130634613,129914358,536824798,539903326,536926564,1.4897500000000001,1.5750000000000002,1.4307999999999998,11.0,11.0
BXS,9,BXS,2015-12-31,690834000.0,744600000.0,734968604.0,240096789,240593077,240986902,172635794,172992638,173275809,120453171,120702151,120899728,534614074,535719139,536596054,1.4826800000000002,1.5645,1.421,11.0,11.0
CVBF,0,CVBF,2024-12-31,391071193.0,419292825.0,403166178.0,289759021,289759020,289759020,269330284,269330283,269330283,192301973,192301972,192301972,188520279,188520279,188520279,1.3595041705864077,1.413884337409864,1.3187190454688154,2.0,2.0
CVBF,1,CVBF,2023-12-31,396601739.0,425222484.0,408867773.0,300383635,292201095,288985688,279205836,271600186,268611473,199353123,193922684,191788742,195432766,190109119,188017141,1.3250658988564854,1.3913191937993097,1.2853139218907907,2.0,2.0
CVBF,2,CVBF,2022-12-31,392753000.0,432888000.0,420869749.0,311463626,286250517,294691734,289504660,266069138,273915229,206706490,189973514,195575627,202641525,186237610,191729555,1.3173300000000001,1.3965,1.2279399999999998,4.0,4.0
CVBF,3,CVBF,2021-12-31,361810000.0,433908000.0,409777535.0,272398277,298511794,289864931,253193517,277465965,269428727,180780313,198110854,192372262,177225196,194214926,188589186,1.1832,1.3545,0.98,9.0,9.0
CVBF,4,CVBF,2020-12-31,407400000.0,445842000.0,433607999.0,301818014,312216279,306131470,280539089,290204250,284548435,200305067,207205998,203167743,196365989,203131210,199172369,1.2605772,1.3545,1.15738,9.0,9.0
CVBF,5,CVBF,2019-12-31,422698840.0,447178200.0,443551954.0,290596855,281540439,285163899,273966664,265428526,268844623,197256257,191108790,193568383,235419399,228082582,231018032,1.5011034,1.554,1.4307999999999998,8.0,8.0
CVBF,6,CVBF,2018-12-31,325726000.0,355674000.0,348307024.0,236960822,241209428,239362695,226986612,231056385,229287385,125532451,127783194,126804868,159006650,161857571,160618367,1.3158,1.3755000000000002,1.2152,10.0,10.0
CVBF,7,CVBF,2017-12-31,270921000.0,290619420.0,286795649.0,185251954,184453305,185104331,176573742,175812507,176433035,110358861,109883087,110270919,141815200,141203814,141702191,1.085025,1.1235000000000002,1.029,10.0,10.0
CVBF,8,CVBF,2016-12-31,248999000.0,268260000.0,263799342.0,161382971,160547446,161373874,152734481,151943732,152725872,100041358,99523416,100035719,136280052,135574492,136272370,0.9427757999999999,0.987,0.8918,9.0,9.0
